City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Mar Del Plata,AR,72.82,scattered clouds,-38.0023,-57.5575,Nuevo Ostende
92,Omboue,GA,79.41,overcast clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
93,Faanui,PF,81.43,light rain,-16.4833,-151.75,Oa Oa Lodge
99,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
103,Poso,ID,75.67,light rain,-1.3959,120.7524,Nusantara
105,Hilo,US,73.11,light rain,19.7297,-155.09,Dolphin Bay Hotel
107,Soyo,AO,79.81,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
110,Kapaa,US,73.72,light rain,22.0752,-159.319,Pono Kai Resort
116,Constitucion,CL,72.99,few clouds,-35.3333,-72.4167,Hostal Alameda
117,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
121,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Comfort Rooms
122,Tarakan,ID,77.79,moderate rain,3.3,117.6333,Hotel Dynasty
131,Trelew,AR,77.27,clear sky,-43.249,-65.3051,Patagonia Suites & Apart
140,Bengkulu,ID,73.78,light rain,-3.8004,102.2655,Dena Hotel
144,Brownsville,US,81.09,clear sky,25.9018,-97.4975,Cameron Hotel
147,Touros,BR,83.53,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
154,Mahebourg,MU,81.25,moderate rain,-20.4081,57.7,Grand Bel Air
155,Maputo,MZ,80.28,scattered clouds,-25.9653,32.5892,Mozaika
158,Kollam,IN,77.45,few clouds,8.8833,76.6,Hotel Sea Palace
167,Safaga,EG,76.23,clear sky,26.7292,33.9365,Dolphin Hotel
168,Sinnamary,GF,79.99,scattered clouds,5.3833,-52.95,Hôtel du fleuve
169,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
173,Mitsamiouli,KM,82.56,overcast clouds,-11.3847,43.2844,Hotel le Paradis
182,Lorengau,PG,78.82,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
185,Sao Felix Do Xingu,BR,81.68,broken clouds,-6.6447,-51.995,Hotel Terraço
190,Inhambane,MZ,76.57,scattered clouds,-23.865,35.3833,Hotel de Inhambane
191,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Q-Hotel Grand Dafam
192,Graaff-Reinet,ZA,75.92,clear sky,-32.2522,24.5308,Profcon Resort
194,Luganville,VU,78.55,overcast clouds,-15.5333,167.1667,Beachfront Resort
195,Morondava,MG,77.83,light rain,-20.2833,44.2833,Hotel Sharon Menabe
196,Olavarria,AR,88.03,clear sky,-36.8927,-60.3225,Santa Rosa Hotel
200,Viedma,AR,79.18,few clouds,-40.8135,-62.9967,Níjar
204,Padang,ID,75.65,broken clouds,-0.9492,100.3543,losmen Surya
210,Hervey Bay,AU,72.97,scattered clouds,-25.2986,152.8535,Hervey Bay Hotel
211,Bertoua,CM,81.18,broken clouds,4.5833,13.6833,Hotel Sun City
213,Rameswaram,IN,80.42,overcast clouds,9.2833,79.3,Hyatt Place Hotel
214,Sao Filipe,CV,74.3,clear sky,14.8961,-24.4956,Bela Vista
227,Betioky,MG,70.45,moderate rain,-23.7167,44.3833,Hotel Salema
229,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Port Wine Guest House
231,Nabire,ID,73.44,broken clouds,-3.3667,135.4833,Hotel Anggrek
232,Tonantins,BR,85.28,moderate rain,-2.8731,-67.8022,Red Davi
237,Kahului,US,72.97,light rain,20.8947,-156.47,Maui Seaside Hotel
239,Tual,ID,82.11,overcast clouds,-5.6667,132.75,Suita
240,Mahina,PF,85.77,light rain,-17.5065,-149.489,Motu Martin
243,Acapulco,MX,84.65,clear sky,16.8634,-99.8901,Hotel del Valle
