City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Kollam,IN,8.8833,76.6,77.45,72,11,4.45,few clouds
159,Muros,ES,42.7762,-9.0603,50.61,68,0,2.93,clear sky
160,Dostpur,IN,26.2833,82.4667,69.69,32,0,8.75,clear sky
161,Airai,TL,-8.9266,125.4092,58.86,90,100,2.75,overcast clouds
162,Arlit,NE,18.7369,7.3853,86.54,9,98,11.83,overcast clouds
163,Saint Anthony,US,45.0205,-93.218,37.65,71,100,5.75,overcast clouds
164,Waipawa,NZ,-41.4122,175.5153,55.65,83,100,7.11,overcast clouds
165,Tura,IN,25.5198,90.2201,68.88,41,0,2.91,clear sky
166,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,17.27,broken clouds
167,Safaga,EG,26.7292,33.9365,76.23,45,8,2.01,clear sky
168,Sinnamary,GF,5.3833,-52.95,79.99,80,47,14.79,scattered clouds
169,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,100,3.94,light rain
170,Svetlogorsk,BY,52.6333,29.7333,29.26,62,100,15.19,overcast clouds
171,Iqaluit,CA,63.7506,-68.5145,26.33,73,75,16.11,broken clouds
172,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.76,58,0,23.02,clear sky
173,Mitsamiouli,KM,-11.3847,43.2844,82.56,78,100,13.42,overcast clouds
174,Vikindu,TZ,-7.0067,39.2985,82.04,74,20,12.66,few clouds
175,Grindavik,IS,63.8424,-22.4338,43.27,87,75,4.61,broken clouds
176,Shenjiamen,CN,29.9576,122.298,47.93,69,0,4.97,clear sky
177,Portland,US,45.5234,-122.6762,44.44,85,100,15.01,overcast clouds
178,Hellvik,NO,59.9156,5.781,35.78,78,43,10.0,scattered clouds
179,Lucapa,AO,-8.4192,20.7447,69.04,92,100,1.72,overcast clouds
180,Jinchang,CN,38.4953,102.1739,40.12,23,6,6.13,clear sky
181,Riverton,US,40.5219,-111.9391,42.44,48,40,24.16,scattered clouds
182,Lorengau,PG,-2.0226,147.2712,78.82,86,100,11.39,overcast clouds
183,Udachnyy,RU,66.4167,112.4,2.44,77,100,11.95,overcast clouds
184,Pampa,US,35.5362,-100.9599,55.56,41,4,16.11,clear sky
185,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.68,87,59,1.72,broken clouds
186,Gorom-Gorom,BF,14.4439,-0.2361,90.18,8,1,8.63,clear sky
187,Columbus,US,39.9612,-82.9988,52.11,62,20,9.22,few clouds
188,Husavik,IS,66.0449,-17.3389,33.84,87,100,8.12,overcast clouds
189,East London,ZA,-33.0153,27.9116,72.54,88,20,4.61,few clouds
190,Inhambane,MZ,-23.865,35.3833,76.57,90,30,12.88,scattered clouds
191,Martapura,ID,-3.4167,114.85,75.29,100,100,3.44,overcast clouds
192,Graaff-Reinet,ZA,-32.2522,24.5308,75.92,66,0,6.73,clear sky
193,Clyde River,CA,70.4692,-68.5914,-0.17,55,75,14.97,broken clouds
194,Luganville,VU,-15.5333,167.1667,78.55,85,96,3.22,overcast clouds
195,Morondava,MG,-20.2833,44.2833,77.83,87,100,23.64,light rain
