City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Butembo,CD,2023-03-01 04:15:12,0.15,29.2833,57.7,95,96,3.42
138,Bethel,US,2023-03-01 04:15:13,41.3712,-73.414,33.49,86,0,4.61
139,Fare,PF,2023-03-01 04:15:13,-16.7,-151.0167,82.92,72,94,9.06
140,Caibarien,CU,2023-03-01 04:15:14,22.5206,-79.4669,63.72,71,0,5.1
141,Aleksandrovskiy Zavod,RU,2023-03-01 04:12:21,50.9237,117.9374,13.35,60,13,6.58
142,Hunterville,NZ,2023-03-01 04:15:15,-39.9333,175.5667,70.7,50,0,5.46
143,Byron Bay,AU,2023-03-01 04:15:15,-28.65,153.6167,91.71,63,0,17.0
144,Alofi,NU,2023-03-01 04:10:45,-19.0595,-169.9187,80.85,70,89,8.9
145,Kavaratti,IN,2023-03-01 04:15:16,10.5669,72.642,81.48,67,10,9.04
146,Nikolskoye,RU,2023-03-01 04:08:42,59.7035,30.7861,24.69,91,88,8.99
147,Nanortalik,GL,2023-03-01 04:15:18,60.1432,-45.2371,23.32,75,100,9.04
148,Qaanaaq,GL,2023-03-01 04:08:48,77.484,-69.3632,-10.82,87,96,6.22
149,Sao Filipe,CV,2023-03-01 04:15:18,14.8961,-24.4956,70.99,73,8,10.65
150,Bambous Virieux,MU,2023-03-01 04:10:04,-20.3428,57.7575,82.22,72,8,7.4
151,Ryzdvyanyy,RU,2023-03-01 04:15:19,45.2656,41.8389,32.7,92,70,10.29
152,Asfi,MA,2023-03-01 04:15:19,32.2994,-9.2372,58.87,74,100,4.36
153,Talnakh,RU,2023-03-01 04:15:20,69.4865,88.3972,0.82,81,95,9.26
154,San Quintin,MX,2023-03-01 04:15:20,30.4833,-115.95,54.18,75,60,9.71
155,Kahului,US,2023-03-01 04:15:21,20.8947,-156.47,71.31,86,40,12.66
156,Birjand,IR,2023-03-01 04:15:22,32.8663,59.2211,46.2,68,6,2.3
157,Naica,MX,2023-03-01 04:15:23,27.85,-105.4833,67.05,14,99,9.31
158,Rio Gallegos,AR,2023-03-01 04:15:23,-51.6226,-69.2181,44.65,61,0,11.5
159,Udachnyy,RU,2023-03-01 04:15:24,66.4167,112.4,0.45,70,37,3.98
160,Sistranda,NO,2023-03-01 04:13:13,63.7256,8.834,42.76,86,100,19.82
161,Qazvin,IR,2023-03-01 04:15:25,36.2797,50.0049,45.73,40,54,3.76
162,Kaitangata,NZ,2023-03-01 04:15:25,-46.2817,169.8464,66.65,70,82,4.83
163,Maraa,BR,2023-03-01 04:15:26,-1.8333,-65.3667,73.18,98,100,1.12
164,Mar Del Plata,AR,2023-03-01 04:15:26,-38.0023,-57.5575,73.94,73,0,9.22
165,Yumen,CN,2023-03-01 04:15:27,40.2833,97.2,38.52,34,39,3.06
166,Jamestown,US,2023-03-01 04:08:49,42.097,-79.2353,31.01,92,75,3.44
167,Mashhad,IR,2023-03-01 04:15:28,36.297,59.6062,41.14,70,0,0.0
168,Wucheng,CN,2023-03-01 04:15:29,29.6008,118.175,56.62,65,100,2.17
